#          chi2            h           Omegam           OmegaK          
        41.1253        0.710875        0.448276       -0.319695 
        31.7787        0.708989        0.402702       -0.331996 
        31.6738        0.709165        0.394735         -0.2743 
        31.4348        0.704663        0.371618       -0.236686 
         32.749         0.71069         0.39663       -0.280541 
        31.3831        0.707003        0.375963       -0.265555 
        31.1879          0.7039        0.384926       -0.244179 
         30.703        0.708798        0.311025        -0.12992 
        31.6283        0.708522        0.326572       -0.107142 
        33.6669        0.713663        0.288525       -0.102608 
        37.3961         0.71646        0.314087       -0.149736 
        38.0237        0.705389         0.29354       -0.145508 
        36.7719        0.705019        0.312353       -0.173717 
         33.464        0.711139        0.335923       -0.143048 
        36.6271        0.709001        0.252571      -0.0757642 
        31.9665        0.710785          0.2634      -0.0406014 
        30.7553        0.709124        0.295061      -0.0824862 
         29.715        0.705249        0.312242      -0.0735373 
        30.1748        0.702649          0.3494       -0.141864 
        32.1458        0.699149          0.3158      -0.0736691 
        29.7301        0.701922         0.29437      -0.0278803 
        31.7711        0.703209        0.245736       0.0250053 
        31.0338        0.706938        0.224996       0.0622673 
        31.3987        0.706093        0.248579      0.00172357 
        34.6337        0.709148        0.281463        0.013084 
        29.8788        0.699342        0.297987       0.0186843 
        29.8105        0.703472        0.303692       -0.065405 
        30.1966        0.703826        0.272286      -0.0145076 
        30.0804        0.700589        0.294722      -0.0200402 
        30.3015        0.705958        0.262029     -0.00740724 
        32.0947         0.70457        0.249614      0.00126864 
        34.2501        0.710849        0.266425       0.0112447 
         37.456        0.707903        0.210114       0.0213978 
        32.0358        0.706487        0.246499       0.0942749 
        29.6439        0.702826        0.237965        0.119846 
        30.3579        0.698011        0.218128        0.163722 
        30.8546        0.695712        0.213666        0.200757 
        29.8503        0.699355        0.245496        0.147823 
        29.5324        0.702072        0.219893        0.135662 
        31.0722        0.705542        0.206371        0.109871 
         29.609        0.699426        0.258703        0.108667 
         30.664         0.69569        0.248311        0.176907 
        34.3866        0.692415        0.311316        0.102866 
        30.7498        0.696391        0.271504       0.0814479 
        30.4438        0.702603        0.246211        0.125479 
        33.1208        0.700881        0.273725        0.120885 
          33.01        0.705636        0.238844        0.133599 
