#          Chi2            h           Omegam           Omegak          
        30.9645        0.704813        0.167662        0.224961 
        30.2762        0.701891         0.15761        0.281472 
        30.4745        0.697223        0.193784        0.287495 
        32.3085        0.705258        0.129953        0.296651 
        34.6542         0.70195        0.115454        0.305297 
        33.8948        0.695772         0.20903        0.315835 
        32.6659        0.694508        0.196142        0.227471 
        34.1615        0.690749        0.248228        0.180766 
        31.0902        0.701324        0.192483        0.169493 
         32.033        0.694966        0.227507        0.258286 
        32.1896        0.697733        0.156867        0.273674 
        29.8412        0.697403         0.18204        0.284518 
        30.7314        0.696894        0.169254        0.279155 
        29.6598         0.70144        0.190855         0.21437 
        30.5494        0.697957        0.237153        0.192599 
        30.8888        0.697649        0.222485        0.149977 
        32.1293        0.697675        0.279423        0.126327 
        30.5151        0.696834        0.281627       0.0883097 
         32.505        0.703235        0.308325        0.013765 
        31.5675         0.69622        0.323799      -0.0145462 
        32.0383         0.69612        0.334737     -0.00846704 
        33.2796        0.696481        0.361383      -0.0491824 
        33.4569        0.694422        0.331718       -0.032935 
        31.4975         0.70075         0.31333       0.0154208 
        33.4431        0.694698        0.329354       -0.035898 
        33.9032        0.694447        0.336867      -0.0502927 
        31.6914         0.69917        0.307244      -0.0517978 
        29.6613        0.701432        0.311756      -0.0354562 
        29.8109        0.704504        0.256566       0.0249205 
        31.6383        0.695576        0.265958       0.0868346 
        31.0974        0.705794        0.251034       0.0820769 
        30.9371        0.705903        0.236488       0.0382325 
        30.8795        0.697288         0.31001     -0.00347681 
        30.4938        0.706704        0.292719      -0.0281904 
        30.0661        0.706763        0.279852      -0.0401815 
        31.1277        0.708334        0.247767       0.0398307 
         32.612        0.708742        0.211707       0.0629707 
        32.9363         0.71013        0.208014       0.0738017 
        34.4356         0.71356        0.241389      -0.0185005 
        31.8156        0.708652        0.226643       0.0415033 
        31.9608        0.702331        0.284771      -0.0506943 
        31.4264        0.708019        0.301509       -0.049618 
        29.4386        0.704078        0.274535       0.0150238 
        29.5276        0.704166        0.268556       0.0114792 
        29.9518        0.700183        0.315099      -0.0243841 
        29.9201        0.703923        0.286941      -0.0396232 
        32.4226        0.694808        0.328165     -0.00413854 
        34.6999        0.691241        0.314748       0.0577706 
        37.2887        0.688963        0.321301        0.060516 
        35.3262        0.689265        0.282462        0.160183 
         34.734        0.689315        0.261761         0.20597 
        37.3219        0.693945        0.246452        0.281391 
        31.0127        0.693645        0.196764        0.301382 
        33.6778        0.700383        0.216397         0.25214 
        33.0886        0.692544        0.229979        0.278991 
        33.1539        0.693451        0.213805        0.313161 
        32.7824        0.693626        0.242724        0.241718 
        32.6542        0.693834        0.212002        0.206766 
        32.6267        0.699391        0.169656        0.221471 
        32.0307        0.704499        0.140517        0.265532 
        30.8766        0.701597        0.157766        0.314319 
        30.6664        0.700421         0.13511        0.328599 
        29.8776        0.699861        0.165459        0.282439 
        30.5778        0.699484        0.175138         0.30497 
        30.6588        0.696721        0.169066        0.283755 
        31.1234        0.704368        0.155303        0.253327 
        32.2555        0.695157        0.212598        0.188503 
        32.3944        0.702261        0.181779        0.169372 
         30.898        0.704042        0.176779        0.193991 
        31.8305        0.702529        0.228482        0.182509 
        31.1939         0.69462        0.237682        0.169611 
        31.2931        0.697148        0.252072          0.1788 
        30.4966        0.697476         0.21871        0.234431 
         39.304        0.690687        0.217914         0.18403 
        34.6385        0.690598        0.255596        0.162995 
        35.3196        0.692221        0.212888        0.201908 
        33.9291        0.692508        0.280936        0.172067 
        33.1081        0.693406        0.270054       0.0981057 
        34.0892        0.699372        0.310874       0.0638188 
        34.0458        0.703932        0.278726       0.0841151 
        31.8659        0.696946        0.231896        0.126574 
        33.2467        0.699403        0.226837       0.0904021 
        32.1698        0.698485        0.291622        0.093127 
